SampleID	species	age	sex	tissue	diet	mix_diet	sp_diet
C69	morsitans	Teneral flies	females	guts	B vitamins diet	Vitamins	morsitans/Vitamins
I1	pallidipes	16 days old	males	testes	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
I2	pallidipes	16 days old	males	testes	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
I8	pallidipes	16 days old	males	testes	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
I3	pallidipes	16 days old	males	guts	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
I7	pallidipes	16 days old	males	guts	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
I9	pallidipes	16 days old	males	guts	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
I13	gambiensis	16 days old	males	testes	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
I14	gambiensis	16 days old	males	testes	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
I15	gambiensis	16 days old	males	testes	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
I19	gambiensis	16 days old	males	guts	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
I20	gambiensis	16 days old	males	guts	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
I21	gambiensis	16 days old	males	guts	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
I25	morsitans	16 days old	males	testes	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
I26	morsitans	16 days old	males	testes	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
I27	morsitans	16 days old	males	testes	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
I28	morsitans	16 days old	males	guts	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
I29	morsitans	16 days old	males	guts	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
I30	morsitans	16 days old	males	guts	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
I4	pallidipes	16 days old	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
I5	pallidipes	16 days old	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
I6	pallidipes	16 days old	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
I10	pallidipes	16 days old	females	guts	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
I11	pallidipes	16 days old	females	guts	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
I12	pallidipes	16 days old	females	guts	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
I16	gambiensis	16 days old	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
I17	gambiensis	16 days old	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
I18	gambiensis	16 days old	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
I22	gambiensis	16 days old	females	guts	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
I23	gambiensis	16 days old	females	guts	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
I24	gambiensis	16 days old	females	guts	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
I31	morsitans	16 days old	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
I32	morsitans	16 days old	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
I33	morsitans	16 days old	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
I34	morsitans	16 days old	females	guts	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
I35	morsitans	16 days old	females	guts	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
I36	morsitans	16 days old	females	guts	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
C13	pallidipes	Teneral flies	males	testes	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
C14	pallidipes	Teneral flies	males	testes	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
C15	pallidipes	Teneral flies	males	testes	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
C4	pallidipes	Teneral flies	males	guts	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
C5	pallidipes	Teneral flies	males	guts	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
C6	pallidipes	Teneral flies	males	guts	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
C19	gambiensis	Teneral flies	males	testes	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
C20	gambiensis	Teneral flies	males	testes	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
C21	gambiensis	Teneral flies	males	testes	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
C7	gambiensis	Teneral flies	males	guts	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
C8	gambiensis	Teneral flies	males	guts	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
C9	gambiensis	Teneral flies	males	guts	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
C28	morsitans	Teneral flies	males	testes	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
C29	morsitans	Teneral flies	males	testes	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
C30	morsitans	Teneral flies	males	testes	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
C22	morsitans	Teneral flies	males	guts	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
C23	morsitans	Teneral flies	males	guts	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
C24	morsitans	Teneral flies	males	guts	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
C1	pallidipes	Teneral flies	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
C2	pallidipes	Teneral flies	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
C3	pallidipes	Teneral flies	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
C10	pallidipes	Teneral flies	females	guts	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
C11	pallidipes	Teneral flies	females	guts	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
C12	pallidipes	Teneral flies	females	guts	Tetracycline/B vitamins diet	Tertacycline	pallidipes/Tertacycline
C25	gambiensis	Teneral flies	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
C26	gambiensis	Teneral flies	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
C27	gambiensis	Teneral flies	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
C16	gambiensis	Teneral flies	females	guts	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
C17	gambiensis	Teneral flies	females	guts	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
C18	gambiensis	Teneral flies	females	guts	Tetracycline/B vitamins diet	Tertacycline	gambiensis/Tertacycline
C37	morsitans	Teneral flies	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
C38	morsitans	Teneral flies	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
C39	morsitans	Teneral flies	females	ovaries	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
C31	morsitans	Teneral flies	females	guts	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
C32	morsitans	Teneral flies	females	guts	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
C33	morsitans	Teneral flies	females	guts	Tetracycline/B vitamins diet	Tertacycline	morsitans/Tertacycline
