	sequences per sample	iteration	ASIM94	ASIM88	ASIM3	ASIM4	ASIM20	ASIM91	ASIM18	ASIM89	ASIM86	ASIM24	ASIM85	ASIM90	ASIM92	ASIM12	ASIM1	ASIM87	ASIM14	ASIM8	ASIM25	ASIM2	ASIM93	ASIM13	ASIM23	ASIM15	ASIM10	ASIM16	ASIM9	ASIM11	ASIM17	ASIM26	ASIM21	ASIM7	ASIM6	ASIM5	ASIM22	ASIM19
alpha_rarefaction_1000_6.txt	1000	6	118.666666667	235.0	491.272727273	347.526315789	112.0	273.4	57.0	206.052631579	172.176470588	74.5	273.875	256.5	205.052631579	123.2	337.5	177.833333333	24.3333333333	27.0	119.5	179.588235294	214.833333333	72.0	61.0	143.0	98.0	52.0	41.0	60.5	20.5	75.6666666667	54.3333333333	55.0	365.0	64.0	29.0	47.0
alpha_rarefaction_1000_7.txt	1000	7	179.5	265.461538462	306.571428571	275.25	26.5	225.055555556	56.0	284.714285714	196.352941176	85.0	187.090909091	246.0	165.333333333	62.1428571429	247.214285714	167.588235294	27.0	42.0	283.333333333	235.111111111	159.571428571	34.0	85.0	49.25	46.5	44.0	52.0	67.25	42.0	258.0	103.5	24.6	77.5	76.5	84.0	52.0
alpha_rarefaction_1000_8.txt	1000	8	149.333333333	187.058823529	348.833333333	325.0	85.0	280.055555556	104.5	167.875	216.9375	75.5	150.0	155.2	248.714285714	291.0	279.571428571	210.25	33.0	33.0	173.0	303.0	187.125	27.0	42.0	49.25	17.75	97.0	72.0	86.0	42.0	259.0	72.3333333333	60.0	96.1666666667	45.75	159.0	91.0
alpha_rarefaction_1000_9.txt	1000	9	203.75	228.9375	316.666666667	296.555555556	60.0	171.0	116.333333333	192.0	182.666666667	64.0	334.142857143	207.25	170.714285714	86.6	248.352941176	187.6875	127.0	83.0	178.0	197.909090909	279.333333333	84.0	74.5	63.0	52.0	72.0	61.0	111.0	62.0	145.5	77.5	98.0	95.1666666667	31.1666666667	84.0	66.5
alpha_rarefaction_1250_0.txt	1250	0	245.0	208.0	540.545454545	568.058823529	85.0	184.619047619	103.5	221.0	164.894736842	54.2	296.75	195.0	288.882352941	145.5	226.4	230.789473684	111.0	29.0	194.6	259.363636364	206.8125	51.0	47.75	116.333333333	67.5	39.5	51.0	261.0	84.0	134.0	41.3333333333	145.5	142.0	210.5	97.0	51.3333333333
alpha_rarefaction_1250_1.txt	1250	1	128.125	202.0	503.153846154	315.7	42.0	236.066666667	61.0	218.235294118	246.0625	77.5	217.117647059	253.75	220.333333333	96.2	315.0	274.0	66.5	196.0	223.0	199.526315789	236.153846154	45.5	39.3333333333	70.3333333333	92.0	39.5	36.5	103.0	111.0	168.0	68.25	116.333333333	102.0	51.0	282.0	177.0
alpha_rarefaction_1250_2.txt	1250	2	136.5	224.047619048	411.0	338.0	99.0	213.285714286	110.0	276.315789474	212.076923077	43.5	190.0	287.0	212.833333333	82.1666666667	421.176470588	251.166666667	111.5	72.0	238.6	295.6	170.5625	84.0	217.0	50.25	62.2	59.0	111.0	536.0	197.0	86.0	239.0	101.0	111.666666667	73.0	160.0	237.0
alpha_rarefaction_1250_3.txt	1250	3	123.0	249.153846154	357.565217391	382.84	99.0	237.545454545	51.25	208.55	277.4	84.0	304.833333333	217.315789474	222.315789474	169.0	308.083333333	230.647058824	73.0	52.0	324.333333333	239.583333333	204.5	45.5	102.5	197.0	142.0	92.0	28.0	52.25	51.3333333333	144.0	145.0	104.0	143.5	88.75	126.0	47.0
alpha_rarefaction_1250_4.txt	1250	4	156.75	228.157894737	430.1875	505.0	85.0	237.476190476	113.5	272.5	209.454545455	89.75	188.666666667	201.666666667	229.8	99.0	270.25	207.052631579	52.0	74.5	244.333333333	282.272727273	182.571428571	34.0	123.0	59.0	46.0	59.0	125.0	87.0	91.0	136.545454545	41.5	153.0	210.333333333	88.75	143.0	60.0
alpha_rarefaction_1250_5.txt	1250	5	154.230769231	218.8125	323.0	347.789473684	239.0	218.444444444	116.333333333	268.0	199.5	102.5	242.615384615	368.5	264.789473684	74.5	268.285714286	238.25	101.5	29.25	528.0	257.928571429	399.75	71.0	74.5	38.5	39.5	32.75	83.0	85.0	39.5	197.75	77.5	568.0	103.375	128.0	60.0	60.0
